epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,444.353,0.7587,0.56248,1.02152,0.42769,0.45136,0.44247,0.1999,2.53555,1.82178,2.22762,0.00079238,0.00079238,0.00079238
128,447.76,0.75536,0.59147,1.03442,0.67299,0.40216,0.45078,0.16867,2.55548,2.07499,2.27728,0.000787328,0.000787328,0.000787328
129,451.145,0.79824,0.58233,1.03576,0.4963,0.39884,0.36837,0.13491,2.78927,2.37398,2.61083,0.000782275,0.000782275,0.000782275
130,454.501,0.8718,0.60806,1.05699,0.41912,0.39986,0.38662,0.12424,2.75945,2.16443,2.66103,0.000777223,0.000777223,0.000777223
131,457.869,0.7471,0.59417,1.01177,0.62054,0.58214,0.53838,0.20761,2.61346,1.8461,2.58384,0.00077217,0.00077217,0.00077217
132,461.277,0.8,0.65022,1.03583,0.72321,0.53817,0.54736,0.23698,2.64672,1.84437,2.49524,0.000767118,0.000767118,0.000767118
133,464.688,0.7354,0.57026,1.01846,0.57133,0.51977,0.48175,0.21469,2.71846,1.93622,2.57023,0.000762065,0.000762065,0.000762065
134,468.074,0.74877,0.54609,1.02361,0.44691,0.41786,0.39291,0.13858,2.85412,2.22384,2.86585,0.000757013,0.000757013,0.000757013
135,471.475,0.72903,0.56871,1.00553,0.49843,0.49592,0.42153,0.15789,2.75155,2.07307,2.62883,0.00075196,0.00075196,0.00075196
136,474.861,0.76268,0.55001,1.02916,0.67319,0.4992,0.55606,0.24815,2.33936,1.88635,2.22682,0.000746908,0.000746908,0.000746908
137,478.35,0.75048,0.5552,1.00498,0.63237,0.49442,0.53162,0.24807,2.37965,2.00457,2.19065,0.000741855,0.000741855,0.000741855
138,481.731,0.68273,0.48985,0.9849,0.72461,0.48747,0.52384,0.25552,2.29918,2.00982,2.20447,0.000736803,0.000736803,0.000736803
139,485.173,0.69949,0.53332,0.99262,0.59177,0.44633,0.47993,0.25486,2.25059,1.95452,2.20215,0.00073175,0.00073175,0.00073175
140,488.57,0.71492,0.51311,0.99062,0.67355,0.35352,0.36458,0.1772,2.43788,2.31067,2.38052,0.000726698,0.000726698,0.000726698
141,491.951,0.69124,0.50502,0.99513,0.50631,0.35566,0.3721,0.17177,2.4996,2.40025,2.46584,0.000721645,0.000721645,0.000721645
142,495.305,0.73756,0.54204,1.00021,0.47142,0.39798,0.38435,0.18913,2.52938,2.18121,2.46367,0.000716592,0.000716592,0.000716592
143,498.694,0.71578,0.50678,1.00789,0.40061,0.4775,0.41122,0.18853,2.64061,2.43857,2.57113,0.00071154,0.00071154,0.00071154
144,502.159,0.75306,0.56659,1.01318,0.54088,0.50822,0.48398,0.17454,2.73152,2.15801,2.66034,0.000706487,0.000706487,0.000706487
145,505.548,0.71508,0.53975,0.99105,0.60427,0.4992,0.50036,0.18057,2.72882,2.14056,2.59684,0.000701435,0.000701435,0.000701435
146,508.921,0.66581,0.49925,0.97501,0.49747,0.43381,0.44577,0.18727,2.60887,1.9865,2.35409,0.000696382,0.000696382,0.000696382
147,512.297,0.72523,0.56214,1.03205,0.52616,0.49442,0.49661,0.19114,2.48008,1.87762,2.2576,0.00069133,0.00069133,0.00069133
148,515.693,0.65893,0.46848,0.9745,0.61917,0.43381,0.48775,0.19038,2.55129,2.0087,2.38457,0.000686277,0.000686277,0.000686277
149,519.082,0.69194,0.51996,0.99465,0.75292,0.33886,0.40894,0.16796,2.58364,2.19947,2.42287,0.000681225,0.000681225,0.000681225
150,522.448,0.70104,0.53933,1.00549,0.61225,0.35363,0.37995,0.17894,2.5091,2.33036,2.42958,0.000676172,0.000676172,0.000676172
151,525.815,0.73277,0.53608,1.00723,0.5093,0.38596,0.41205,0.20167,2.53965,2.1806,2.38923,0.00067112,0.00067112,0.00067112
152,529.218,0.66882,0.49057,0.97758,0.67694,0.4386,0.50208,0.21755,2.38236,1.936,2.31324,0.000666067,0.000666067,0.000666067
153,532.604,0.70219,0.53402,0.99594,0.6475,0.43199,0.50219,0.21335,2.3822,1.95019,2.3081,0.000661015,0.000661015,0.000661015
154,535.977,0.66068,0.48328,0.99709,0.47511,0.49172,0.49072,0.2076,2.44548,2.09335,2.31739,0.000655962,0.000655962,0.000655962
155,539.319,0.69846,0.54672,1.00963,0.58854,0.40272,0.441,0.20555,2.4927,2.21758,2.3872,0.000650909,0.000650909,0.000650909
156,542.711,0.6601,0.47923,0.99227,0.51447,0.38973,0.42238,0.19495,2.61736,2.46261,2.51976,0.000645857,0.000645857,0.000645857
157,546.082,0.63174,0.45469,0.96268,0.53781,0.30976,0.37718,0.16149,2.47875,2.61458,2.50214,0.000640804,0.000640804,0.000640804
158,549.442,0.72156,0.55565,1.01529,0.57066,0.34376,0.40371,0.17071,2.53702,2.68653,2.4362,0.000635752,0.000635752,0.000635752
159,552.793,0.69061,0.49675,0.98227,0.48875,0.37574,0.38948,0.18564,2.47278,2.55359,2.41874,0.000630699,0.000630699,0.000630699
160,556.204,0.63301,0.47406,0.9599,0.54911,0.3245,0.34364,0.10937,2.77063,2.99443,2.74787,0.000625647,0.000625647,0.000625647
161,559.586,0.70928,0.50431,1.01891,0.29376,0.38596,0.31693,0.14879,2.67769,2.7777,2.51106,0.000620594,0.000620594,0.000620594
162,562.999,0.71155,0.52032,1.01218,0.61348,0.47687,0.4824,0.20135,2.44923,2.23747,2.20194,0.000615542,0.000615542,0.000615542
163,566.375,0.66961,0.52651,0.97923,0.42537,0.37799,0.32046,0.13909,2.63148,2.72538,2.45667,0.000610489,0.000610489,0.000610489
164,569.789,0.65948,0.50094,0.96115,0.36414,0.33014,0.28977,0.12632,2.57664,2.61859,2.42432,0.000605437,0.000605437,0.000605437
165,573.188,0.67016,0.51669,0.98153,0.4404,0.4689,0.3554,0.18501,2.51969,2.28268,2.40244,0.000600384,0.000600384,0.000600384
166,576.54,0.66541,0.48519,0.97046,0.46064,0.42891,0.41177,0.20499,2.51281,2.24361,2.42235,0.000595332,0.000595332,0.000595332
167,579.899,0.6161,0.46855,0.94095,0.48785,0.39872,0.37848,0.168,2.58658,2.27365,2.53015,0.000590279,0.000590279,0.000590279
168,583.287,0.68082,0.50916,0.99245,0.59513,0.45288,0.47376,0.1848,2.52794,2.29579,2.52393,0.000585227,0.000585227,0.000585227
169,586.65,0.64616,0.47179,0.94512,0.55778,0.47301,0.44304,0.14605,2.71192,2.34165,2.62125,0.000580174,0.000580174,0.000580174
170,590.005,0.63571,0.48755,0.95379,0.31556,0.42105,0.36548,0.10623,2.83004,2.50797,2.76705,0.000575121,0.000575121,0.000575121
171,593.357,0.65436,0.51065,0.97102,0.40586,0.45136,0.36993,0.1251,2.73563,2.34615,2.69864,0.000570069,0.000570069,0.000570069
172,596.787,0.66784,0.49318,0.96127,0.50334,0.36741,0.36612,0.14922,2.66385,2.49366,2.61173,0.000565016,0.000565016,0.000565016
173,600.15,0.6296,0.46277,0.96831,0.42078,0.49532,0.45578,0.17634,2.57075,2.23554,2.43928,0.000559964,0.000559964,0.000559964
174,603.501,0.66686,0.47901,0.98086,0.52873,0.43381,0.45308,0.20158,2.45096,2.21563,2.2821,0.000554911,0.000554911,0.000554911
175,606.868,0.60052,0.44807,0.95725,0.57222,0.4689,0.45202,0.17866,2.56299,2.45661,2.3333,0.000549859,0.000549859,0.000549859
176,610.283,0.64627,0.48989,0.95982,0.59887,0.42105,0.42254,0.17069,2.50563,2.69763,2.36695,0.000544806,0.000544806,0.000544806
177,613.653,0.6278,0.47804,0.95606,0.66586,0.47367,0.49315,0.2208,2.42156,2.50495,2.34435,0.000539754,0.000539754,0.000539754
178,617.017,0.61232,0.49686,0.94816,0.65324,0.47743,0.49227,0.23088,2.40513,2.13353,2.36268,0.000534701,0.000534701,0.000534701
179,620.393,0.61394,0.48383,0.96927,0.73112,0.42548,0.47702,0.20907,2.46697,2.1723,2.40675,0.000529649,0.000529649,0.000529649
180,623.793,0.61884,0.49351,0.96607,0.56274,0.38853,0.41512,0.19742,2.48685,2.28877,2.39651,0.000524596,0.000524596,0.000524596
181,627.225,0.60392,0.45924,0.95347,0.43146,0.41627,0.3789,0.19283,2.50793,2.32474,2.41967,0.000519544,0.000519544,0.000519544
